specimen_id,longitude,latitude
C_perrieri_A12,46.333889,-24.560833
C_perrieri_A12,46.333889,-24.560833
C_perrieri_A12,46.333889,-24.560833
C_humbertii_RNF785,43.610638,-23.078725
C_perrieri_A12,45.993359,-17.044592
C_perrieri_A12,44.272222,-22.853611
C_bissetiae,47.590008,-15.407416
C_bissetiae,47.504282,-15.403732
C_bissetiae,47.549289,-15.487327
C_perrieri_A12,46.015711,-17.117819
C_perrieri_A12,46.015693,-17.117573
C_pervilleana_A957,45.920397,-17.077081
C_pervilleana_A957,45.923007,-17.07882
C_boiviniana_A980,49.353747,-12.336711
C_humbertii_RNF785,44.1366,-23.5318
C_humbertii_RNF785,44.1366,-23.5318
C_perrieri_A12,44.272222,-22.853611
C_perrieri_A12,44.272222,-22.853611
C_perrieri_A12,44.263056,-22.845833
C_leroyi_A315,50.074722,-14.186667
C_resinosa_A8,49.405833,-17.688889
C_richardii_A575,50.016389,-14.101111
C_richardii_A575,49.459444,-17.705556
C_perrieri_A12,44.272222,-22.853611
C_perrieri_A12,44.263056,-22.845833
C_liaudii_A1013,47.023333,-17.837778
C_perrieri_A12,46.145833,-24.303611
C_perrieri_A12,45.365556,-21.188611
C_liaudii_A1013,47.023333,-17.837778
C_perrieri_A12,44.263056,-22.845833
C_perrieri_A12,46.145833,-24.303611
C_richardii_A575,49.459444,-17.705556
C_leroyi_A315,50.074722,-14.186667
C_resinosa_A8,49.405833,-17.688889
C_richardii_A575,50.016389,-14.101111
C_mauritiana_Makes4,55.417,-20.915
C_perrieri_A12,46.145833,-24.303611
C_perrieri_A12,45.365556,-21.188611
C_leroyi_A315,50.074722,-14.186667
C_perrieri_A12,45.989986,-17.052635
C_perrieri_A12,45.985053,-17.067958
C_mauritiana_Makes4,55.51716,-21.29231
C_mauritiana_Makes4,55.51787,-21.29007
C_mauritiana_Makes4,55.47191,-21.14684
C_mauritiana_Makes4,55.47153,-21.14686
C_mauritiana_Makes4,55.47279,-21.14879
C_boiviniana_A980,49.35,-12.33
C_boiviniana_A980,49.39833,-12.388317
C_bissetiae,46.820657,-16.234735
C_boinensis,46.778291,-16.139983
C_tsirananae_A515,49.371244,-12.226533
C_heimii_A516,49.263119,-12.279828
C_boiviniana_A980,47.348442,-16.02418
C_bissetiae,46.474407,-15.428146
C_boiviniana_A980,45.883351,-17.069855
C_perrieri_A12,45.989,-17.06269
C_boiviniana_A980,45.893891,-17.154961
C_kihansiensis_APD2922,37.30224,-7.39719
C_liaudii_A1013,47.023333,-17.837778
C_bissetiae,47.709321,-14.999613
C_boiviniana_A980,47.241667,-16.021247
C_boiviniana_A980,47.300588,-16.090702
C_mcphersonii_A977,49.351671,-12.388863
C_heimii_A516,49.347115,-12.210881
C_tsirananae_A515,49.251716,-12.382886
C_boiviniana_A980,49.201458,-12.208129
C_bissetiae,46.402183,-15.404856
C_tsirananae_A515,49.266346,-12.314212
C_tsirananae_A515,49.355849,-12.251702
C_heimii_A516,49.303872,-12.318289
C_tsirananae_A515,49.281018,-12.403209
C_heimii_A516,49.226443,-12.281807
C_tsirananae_A515,49.297935,-12.30587
C_tsirananae_A515,49.219958,-12.50737
C_boiviniana_A980,49.349672,-12.917028
C_resinosa_A8,49.405833,-17.688889
C_perrieri_A12,47.781762,-14.79531
C_richardii_A575,50.016389,-14.101111
C_tsirananae_A515,49.340235,-12.302029
C_tsirananae_A515,49.322727,-12.338667
C_heimii_A516,49.3425,-12.396327
C_heimii_A516,49.2757,-12.398991
C_tsirananae_A515,49.322106,-12.239535
C_heimii_A516,49.569592,-12.454103
C_heimii_A516,49.549809,-12.580463
C_richardii_A575,49.459444,-17.705556
